ID,Age,Sex,StaffStudent,Job,Vignette,Condition,Intention_rating,PB_rating,Job_ranking,Item
1,25,m,staff,CivilServ,b,HA,5,4,low,21
1,25,m,staff,General,b,HA,4,4,high,22
1,25,m,staff,NewsCorr,a,HA,5,5,low,7
1,25,m,staff,EntrLevPers,a,HE,2,2,low,6
1,25,m,staff,ProofRead,a,HA,5,6,low,3
1,25,m,staff,MP,a,HE,2,2,high,5
1,25,m,staff,Admin,a,HE,2,2,low,2
1,25,m,staff,NewsCorr,b,HE,2,2,low,23
1,25,m,staff,Doctor,b,HE,2,2,high,24
1,25,m,staff,CEO,b,HA,5,5,high,18
1,25,m,staff,SuperShelf,b,HA,4,4,low,17
1,25,m,staff,ProofRead,b,HE,3,3,low,19
1,25,m,staff,SuperManager,a,HE,2,2,high,1
1,25,m,staff,VC,a,HA,3,3,high,4
1,25,m,staff,VC,b,HE,3,3,high,20
1,25,m,staff,Doctor,a,HA,4,4,high,8
1,25,m,staff,CEOCoff,b,HE,3,3,high,28
1,25,m,staff,Pilot,b,HA,2,2,high,26
1,25,m,staff,Barrister,a,HE,2,2,high,13
1,25,m,staff,RestManag,b,HE,2,2,high,32
1,25,m,staff,CEOCoff,a,HA,2,2,high,12
1,25,m,staff,TeachAssist,a,HA,2,2,low,11
1,25,m,staff,AircraftEng,a,HE,2,2,high,9
1,25,m,staff,CivilServLaw,b,HA,4,4,low,29
1,25,m,staff,RetailAssist,a,HA,3,3,low,15
1,25,m,staff,TeachAssist,b,HE,2,2,low,27
1,25,m,staff,VetAssist,a,HE,2,2,low,14
1,25,m,staff,PubTranDrive,a,HE,2,2,low,10
1,25,m,staff,RestManag,a,HA,4,4,high,16
1,25,m,staff,AppElec,b,HA,5,5,low,25
1,25,m,staff,Vet,b,HA,4,4,high,30
1,25,m,staff,RetailAssist,b,HE,3,3,low,31
2,22,f,student,MP,a,HA,4,4,high,5
2,22,f,student,Doctor,a,HE,4,4,high,8
2,22,f,student,SuperManager,b,HE,4,4,high,17
2,22,f,student,Admin,b,HE,4,4,low,18
2,22,f,student,SuperManager,a,HA,4,4,high,1
2,22,f,student,Cleaner,b,HA,5,5,low,20
2,22,f,student,StuNurse,b,HA,4,4,low,24
2,22,f,student,EntrLevPers,b,HE,5,5,low,22
2,22,f,student,TVCorpDir,b,HA,4,5,high,23
2,22,f,student,EntrLevPers,a,HA,5,5,low,6
2,22,f,student,Editor,b,HA,5,4,high,19
2,22,f,student,NewsCorr,a,HE,5,5,low,7
2,22,f,student,MP,b,HE,4,5,high,21
2,22,f,student,VC,a,HE,5,5,high,4
2,22,f,student,ProofRead,a,HE,5,5,low,3
2,22,f,student,Admin,a,HA,4,4,low,2
2,22,f,student,RestManag,a,HE,5,5,high,16
2,22,f,student,PubTranDrive,b,HE,4,5,low,26
2,22,f,student,CEOCoff,a,HE,5,5,high,12
2,22,f,student,VetAssist,a,HA,5,5,low,14
2,22,f,student,BaristaCoff,b,HA,6,6,low,28
2,22,f,student,AircraftEng,b,HE,6,6,high,25
2,22,f,student,RetailAssist,a,HE,2,2,low,15
2,22,f,student,Barrister,a,HA,3,5,high,13
2,22,f,student,WaitStaff,b,HA,5,5,low,32
2,22,f,student,VetAssist,b,HE,5,5,low,30
2,22,f,student,AircraftEng,a,HA,5,5,high,9
2,22,f,student,TeachAssist,a,HE,3,3,low,11
2,22,f,student,HeadTeach,b,HA,5,5,high,27
2,22,f,student,RetailManag,b,HA,5,5,high,31
2,22,f,student,Barrister,b,HE,1,1,high,29
2,22,f,student,PubTranDrive,a,HA,1,4,low,10
3,20,m,student,Editor,b,HE,5,4,high,19
3,20,m,student,TVCorpDir,a,HA,3,2,high,7
3,20,m,student,StuNurse,b,HE,0,0,low,24
3,20,m,student,Cleaner,b,HE,0,0,low,20
3,20,m,student,StuNurse,a,HA,6,6,low,8
3,20,m,student,SuperShelf,a,HE,1,1,low,1
3,20,m,student,TVCorpDir,b,HE,0,0,high,23
3,20,m,student,Cleaner,a,HA,6,6,low,4
3,20,m,student,SuperManager,b,HA,6,6,high,17
3,20,m,student,General,a,HE,0,0,high,6
3,20,m,student,EntrLevPers,b,HA,6,6,low,22
3,20,m,student,MP,b,HA,6,6,high,21
3,20,m,student,Admin,b,HA,6,6,low,18
3,20,m,student,CivilServ,a,HE,0,0,low,5
3,20,m,student,CEO,a,HE,0,0,high,2
